Behind Enemy Lines,40000000
Zero Dark Thirty,40000000
The Prestige,40000000
The Conjuring 2,40000000
Bram Stoker's Dracula,40000000
21 Jump Street,42000000
The Interview,44000000
The Hateful Eight,44000000
Argo,44500000
Deep Rising,45000000
Patriots Day,45000000
The Lion King,45000000
Solomon Kane,45000000
Showgirls,45000000
Silence,46000000
Shaft,46000000
Prisoners,46000000
Jonah Hex,47000000
Arrival,47000000
Traffic,48000000
Rambo: Last Blood,50000000
Hansel & Gretel: Witch Hunters,50000000
Rambo,50000000
Free State of Jones,50000000
Alien³,50000000
The Life Aquatic with Steve Zissou,50000000
The Hitchhiker's Guide to the Galaxy,50000000
Moneyball,50000000
"Crazy, Stupid, Love.",50000000
Drive Angry,50000000
Law Abiding Citizen,50000000
From Paris with Love,52000000
Bohemian Rhapsody,52000000
The Thin Red Line,52000000
Blow,53000000
V for Vendetta,54000000
Forrest Gump,55000000
3:10 to Yuma,55000000
Captain Phillips,55000000
Joker,55000000
Crimson Peak,55000000
Deadpool,58000000
Life,58000000
American Sniper,58800000
The Spirit,60000000
The Green Mile,60000000
Gangster Squad,60000000
The Bourne Identity,60000000
Scott Pilgrim vs. the World,60000000
AVP: Alien vs. Predator,60000000
The Truman Show,60000000
Reign of Fire,60000000
The Ridiculous 6,60000000
Gone Girl,61000000
The Matrix,63000000
Jurassic Park,63000000
Fight Club,63000000
Austin Powers in Goldmember,63000000
Total Recall,65000000
Eyes Wide Shut,65000000
Lincoln,65000000
Zodiac,65000000
Sin City: A Dame to Kill For,65000000
300,65000000
Hellboy,66000000
Fury,68000000
Abraham Lincoln: Vampire Hunter,69000000
Inglourious Basterds,70000000
Saving Private Ryan,70000000
Hart's War,70000000
xXx,70000000
Stardust,70000000
Sky Captain and the World of Tomorrow,70000000
The Lost World: Jurassic Park,73000000
John Wick: Chapter 3 - Parabellum,75000000
Wanted,75000000
The Man from U.N.C.L.E.,75000000
The Bourne Supremacy,75000000
Alien: Resurrection,75000000
Children of Men,76000000
The Hunger Games,78000000
Red Dragon,78000000
Mission: Impossible,80000000
Océans,80000000
Face/Off,80000000
The Mummy,80000000
Kingsman: The Secret Service,81000000
Sucker Punch,82000000
Hellboy II: The Golden Army,85000000
Welcome to the Jungle,85000000
Hannibal,87000000
Once Upon a Time... in Hollywood,90000000
The Departed,90000000
Men in Black,90000000
The Secret Life of Walter Mitty,90000000
Conan the Barbarian,90000000
Black Hawk Down,92000000
Tropic Thunder,92000000
Rise of the Planet of the Apes,93000000
The Lord of the Rings: The Fellowship of the Ring,93000000
Finding Nemo,94000000
